"ID","Type","Location","Easting","Northing","Elevation","Orientation"
"Fm-E",5,"Farm",548306,4727534,0,70
"Fm-N",5,"Farm",548306,4727534,0,340
"Fm-S",5,"Farm",548306,4727534,0,160
"Fm-W",5,"Farm",548306,4727534,0,250
"HQ-NE",9,"BSC",544578,4718088,0,45
"HQ-SW",9,"BSC",544578,4718088,0,225
"Pk-E",9,"Park",549653,4714280,0,96
"Pk-N",9,"Park",549653,4714280,0,0
"Pk-S",9,"Park",549653,4714280,0,191
"Pk-W",9,"Park",549653,4714280,0,292
